season,episode,title,restaurant,location,air_date,latitude,longitude
3,3,Regional Favorites,Tecolote Café,"Santa Fe, New Mexico",2008-03-24,35.6869996,-105.9377997
3,3,Regional Favorites,Virginia Diner,"Wakefield, Virginia",2008-03-24,36.9682101,-76.9896882
3,4,Neighborhood Joints,Thee Pitts Again,"Silverton, Colorado",2008-03-31,37.8115318,-107.6643647
3,4,Neighborhood Joints,Iron Barley,"St. Louis, Missouri",2008-03-31,38.6529545,-90.24111656024635
3,4,Neighborhood Joints,Daddypops,"Hatboro, Pennsylvania",2008-03-31,40.1746252,-75.106825
3,4,Neighborhood Joints,The Village Café,"Richmond, Virginia",2008-03-31,37.5385087,-77.43428
3,5,A World of Flavors,Chino Bandido,"Phoenix, Arizona",2008-04-07,33.4484367,-112.0741417
3,5,A World of Flavors,Marietta Diner,"Marietta, Georgia",2008-04-07,33.9528472,-84.5496148
3,5,A World of Flavors,YJ's Snack Bar,"Kansas City, Missouri",2008-04-07,39.100105,-94.5781416
3,6,Something Different,Scully's Tavern,"Miami, Florida",2008-04-14,25.7742658,-80.1936589
3,6,Something Different,Dot's Back Inn,"Richmond, Virginia",2008-04-14,37.5385087,-77.43428
3,6,Something Different,Hillbilly Hot Dogs,"Lesage, West Virginia",2008-04-14,38.5064731,-82.2984823
3,7,American Classics,11th Street Diner,"Miami Beach, Florida",2008-05-18,25.7929198,-80.1353006
3,7,American Classics,Bobo Drive-In,"Topeka, Kansas",2008-05-18,39.049011,-95.677556
3,7,American Classics,Little Tea Shop,"Memphis, Tennessee",2008-05-18,35.1490215,-90.0516285
3,8,Real Deal Fast Food,Panini Pete's,"Fairhope, Alabama",2008-05-19,30.507956,-87.89742922432941
3,8,Real Deal Fast Food,Joe's Farm Grill,"Gilbert, Arizona",2008-05-19,33.3527632,-111.7890373
3,8,Real Deal Fast Food,Maria's Taco Express,"Austin, Texas",2008-05-19,30.2711286,-97.7436995
3,9,The Memphis BBQ Tour,Cozy Corner,"Memphis, Tennessee",2008-05-26,35.1490215,-90.0516285
3,9,The Memphis BBQ Tour,Leonard's BBQ,"Memphis, Tennessee",2008-05-26,35.1490215,-90.0516285
3,9,The Memphis BBQ Tour,Marlowe's Ribs,"Memphis, Tennessee",2008-05-26,35.1490215,-90.0516285
3,9,The Memphis BBQ Tour,Tom's Bar-B-Q,"Memphis, Tennessee",2008-05-26,35.1490215,-90.0516285
3,10,Comfort Food,Grampa's Bakery & Restaurant,"Dania Beach, Florida",2008-06-15,26.050783950000003,-80.14612392627231
3,10,Comfort Food,Blue Moon Café,"Baltimore, Maryland",2008-06-15,39.2908816,-76.610759
3,10,Comfort Food,Central City Cafe,"Huntington, West Virginia",2008-06-15,38.4192496,-82.445154
3,10,Comfort Food,Tip Top Café,"San Antonio, Texas",2008-06-15,29.4246002,-98.4951405
3,11,Where The Locals Go,Matthews Cafeteria,"Tucker, Georgia",2008-06-23,33.8532701,-84.2200729
3,11,Where The Locals Go,The Rivershack Tavern,"Jefferson, Louisiana",2008-06-23,29.8502657,-90.1293894
3,11,Where The Locals Go,Monte Carlo Steak House,"Albuquerque, New Mexico",2008-06-23,35.0841034,-106.6509851
3,12,All Kinds of BBQ,The Joint,"New Orleans, Louisiana",2008-06-30,29.9499323,-90.0701156
3,12,All Kinds of BBQ,The Shed,"Ocean Springs, Mississippi",2008-06-30,30.4112904,-88.8279165
3,12,All Kinds of BBQ,Texas Pride BBQ,"Adkins, Texas",2008-06-30,29.3930129,-98.2372329
3,13,In the Family,Benny's Seafood Restaurant,"South Miami, Florida",2008-07-07,25.707846699999997,-80.29563567682854
3,13,In the Family,Chaps Pit Beef,"Baltimore, Maryland",2008-07-07,39.2908816,-76.610759
3,13,In the Family,Burger Bar,"Roy, Utah",2008-07-07,41.1617999,-112.0261903
4,1,Brain Freeze,Doumar's,"Norfolk, Virginia",2008-07-14,36.8462923,-76.2929252
4,1,Brain Freeze,Aunt Lena's Creamery,"Chandler, Arizona",2008-07-14,33.3062223,-111.8413317
4,1,Brain Freeze,The Creole Creamery,"New Orleans, Louisiana",2008-07-14,29.9499323,-90.0701156
4,2,Diners You Sent Me To,Town Talk Diner,"Minneapolis, Minnesota",2008-07-21,44.9772995,-93.2654692
4,2,Diners You Sent Me To,Blue Plate Diner,"Salt Lake City, Utah",2008-07-21,40.7596198,-111.8867975
4,2,Diners You Sent Me To,Broadway Diner,"Baltimore, Maryland",2008-07-21,39.2908816,-76.610759
4,3,Bar Food,The Highlander,"Atlanta, Georgia",2008-07-28,33.7490987,-84.3901849
4,3,Bar Food,Gumbo Shack,"Fairhope, Alabama",2008-07-28,30.507956,-87.89742922432941
4,3,Bar Food,Starlite Lounge,"Blawnox, Pennsylvania",2008-07-28,40.4934017,-79.8606053
4,4,Burgers and Dogs,The Wienery,"Minneapolis, Minnesota",2008-08-04,44.9772995,-93.2654692
4,4,Burgers and Dogs,Casino El Camino,"Austin, Texas",2008-08-04,30.2711286,-97.7436995
4,4,Burgers and Dogs,G&A Restaurant,"Baltimore, Maryland",2008-08-04,39.2908816,-76.610759
4,5,Where the Locals Eat,Uncle Lou's,"Memphis, Tennessee",2008-08-11,35.1490215,-90.0516285
4,5,Where the Locals Eat,Captain Chuck A Mucks,"Rescue, Virginia",2008-08-11,36.9959815,-76.5605083
4,5,Where the Locals Eat,Dixie Quicks,"Omaha, Nebraska",2008-08-11,41.2587459,-95.9383758
4,6,Totally Unexpected,Cabbage Town Market,"Atlanta, Georgia",2008-08-18,33.7490987,-84.3901849
4,6,Totally Unexpected,The Cove,"San Antonio, Texas",2008-08-18,29.4246002,-98.4951405
4,6,Totally Unexpected,Bryant-Lake Bowl,"Minneapolis, Minnesota",2008-08-18,44.9772995,-93.2654692
4,7,A Taste of Everywhere,Jamaica Kitchen,"Kendale Lakes, Florida",2008-09-15,25.70633095,-80.4068717788021
4,7,A Taste of Everywhere,Crystal Restaurant,"Pittsburgh, Pennsylvania",2008-09-15,40.4416941,-79.9900861
4,7,A Taste of Everywhere,Red Iguana,"Salt Lake City, Utah",2008-09-15,40.7596198,-111.8867975
4,8,Better Than Ever,Colonnade,"Atlanta, Georgia",2008-09-22,33.7490987,-84.3901849
4,8,Better Than Ever,Manci's Antique Club,"Daphne, Alabama",2008-09-22,30.6035255,-87.9036047
4,8,Better Than Ever,Amato's,"Omaha, Nebraska",2008-09-22,41.2587459,-95.9383758
4,9,Big Flavor,Darwell's Café,"Long Beach, Mississippi",2008-09-29,30.3504751,-89.1528176
4,9,Big Flavor,Brick Oven Pizza,"Baltimore, Maryland",2008-09-29,39.2908816,-76.610759
4,9,Big Flavor,Victor's 1959 Café,"Minneapolis, Minnesota",2008-09-29,44.9772995,-93.2654692
4,10,Cookin' It Old School,Nadine's Restaurant,"Pittsburgh, Pennsylvania",2008-10-06,40.4416941,-79.9900861
4,10,Cookin' It Old School,Casamento's Restaurant,"New Orleans, Louisiana",2008-10-06,29.9499323,-90.0701156
4,10,Cookin' It Old School,Big Mama's Kitchen & Catering,"Omaha, Nebraska",2008-10-06,41.2587459,-95.9383758
4,11,Grabbin'a Sandwich,Moochie's Meatballs & More,"Salt Lake City, Utah",2008-10-13,40.7596198,-111.8867975
4,11,Grabbin'a Sandwich,Cemitas Puebla,"Chicago, Illinois",2008-10-13,41.8755616,-87.6244212
4,11,Grabbin'a Sandwich,Tioli's Crazee Burger,"San Diego, California",2008-10-13,32.7174209,-117.1627714
4,12,Traditional Dishes,Donatelli's,"White Bear Lake, Minnesota",2008-11-03,45.0838098,-93.0069304
4,12,Traditional Dishes,Stoney Creek Inn,"Baltimore, Maryland",2008-11-03,39.2908816,-76.610759
4,12,Traditional Dishes,Alcenia's,"Memphis, Tennessee",2008-11-03,35.1490215,-90.0516285
4,13,Doin' Their Own Thing,Lone Star Taqueria,"Salt Lake City, Utah",2008-11-10,40.7596198,-111.8867975
4,13,Doin' Their Own Thing,Modern Café,"Minneapolis, Minnesota",2008-11-10,44.9772995,-93.2654692
4,13,Doin' Their Own Thing,Brewburger's,"Omaha, Nebraska",2008-11-10,41.2587459,-95.9383758
5,1,What's For Breakfast,Surrey's Café,"New Orleans, Louisiana",2008-11-10,29.9499323,-90.0701156
5,1,What's For Breakfast,Harry's Roadhouse,"Santa Fe, New Mexico",2008-11-10,35.6869996,-105.9377997
5,1,What's For Breakfast,Dor-Stop Restaurant,"Pittsburgh, Pennsylvania",2008-11-10,40.4416941,-79.9900861
5,2,Real Deal Italian,LoBello's Spaghetti House,"Coraopolis, Pennsylvania",2008-11-17,40.5184013,-80.1667247
5,2,Real Deal Italian,Di Pasquale's,"Baltimore, Maryland",2008-11-17,39.2908816,-76.610759
5,2,Real Deal Italian,Pizzeria Luigi,"San Diego, California",2008-11-17,32.7174209,-117.1627714
5,3,Not What You'd Expect,Sophia's Place,"Albuquerque, New Mexico",2008-11-24,35.0841034,-106.6509851
5,3,Not What You'd Expect,Magnolia Café,"Austin, Texas",2008-11-24,30.2711286,-97.7436995
5,3,Not What You'd Expect,Glenn's Diner,"Chicago, Illinois",2008-11-24,41.8755616,-87.6244212
5,4,Places You Sent Me,Ruth's Diner,"Salt Lake City, Utah",2008-12-01,40.7596198,-111.8867975
5,4,Places You Sent Me,O'Rourke's Diner,"Middletown, Connecticut",2008-12-01,41.5623178,-72.6509061
5,4,Places You Sent Me,Parasol's,"New Orleans, Louisiana",2008-12-01,29.9499323,-90.0701156
5,5,Long Time Legends,Tommy's Joynt,"San Francisco, California",2009-01-05,37.7790262,-122.4199061
5,5,Long Time Legends,Joe Tess Place,"Omaha, Nebraska",2009-01-05,41.2587459,-95.9383758
5,5,Long Time Legends,Big Jim's,"Pittsburgh, Pennsylvania",2009-01-05,40.4416941,-79.9900861
5,6,Something from Everywhere,Valencia Luncheria,"Norwalk, Connecticut",2009-01-12,41.1175966,-73.4078968
5,6,Something from Everywhere,The Original Vito & Nick's Pizzeria,"Chicago, Illinois",2009-01-12,41.8755616,-87.6244212
5,6,Something from Everywhere,Emily's Lebanese Delicatessen,"Minneapolis, Minnesota",2009-01-12,44.9772995,-93.2654692
5,7,Neighborhood Favorites,Pat's BBQ,"Salt Lake City, Utah",2009-01-19,40.7596198,-111.8867975
5,7,Neighborhood Favorites,Blow Fly Inn,"Gulfport, Mississippi",2009-01-19,30.3674198,-89.0928155
5,7,Neighborhood Favorites,Tune-Up Café,"Santa Fe, New Mexico",2009-01-19,35.6869996,-105.9377997
5,8,Just Like Yesterday,Hob Nob Hill,"San Diego, California",2009-01-26,32.7174209,-117.1627714
5,8,Just Like Yesterday,The Silver Skillet,"Atlanta, Georgia",2009-01-26,33.7490987,-84.3901849
5,8,Just Like Yesterday,Tufano's Vernon Park Tap,"Chicago, Illinois",2009-01-26,41.8755616,-87.6244212
5,9,Return to Route 66,Standard Diner,"Albuquerque, New Mexico",2009-02-02,35.0841034,-106.6509851
5,9,Return to Route 66,Dell Rhea's Chicken Basket,"Willowbrook, Illinois",2009-02-02,41.7697533,-87.9358931
5,9,Return to Route 66,Salsa Brava,"Flagstaff, Arizona",2009-02-02,35.1987522,-111.6518229
5,10,BBQ & More,Green Mesquite,"Austin, Texas",2009-02-09,30.2711286,-97.7436995
5,10,BBQ & More,Gorilla BBQ,"Pacifica, California",2009-02-09,37.6138253,-122.4869194
5,10,BBQ & More,Wilson's Holy Smoke BBQ,"Fairfield, Connecticut",2009-02-09,41.2943069,-73.37486
5,11,Regional Classics,Cecilia's Café,"Albuquerque, New Mexico",2009-02-16,35.0841034,-106.6509851
5,11,Regional Classics,Joey K's Restaurant & Bar,"New Orleans, Louisiana",2009-02-16,29.9499323,-90.0701156
5,11,Regional Classics,Kelly O's Diner,"Pittsburgh, Pennsylvania",2009-02-16,40.4416941,-79.9900861
5,12,All Kinds of Fast Food,Super Duper Weenie,"Fairfield, Connecticut",2009-03-16,41.2943069,-73.37486
5,12,All Kinds of Fast Food,California Tacos,"Omaha, Nebraska",2009-03-16,41.2587459,-95.9383758
5,12,All Kinds of Fast Food,Bert's Burger Bowl,"Santa Fe, New Mexico",2009-03-16,35.6869996,-105.9377997
5,13,Family Favorites,Giusti's,"Walnut Grove, California",2009-03-23,38.250307500000005,-121.50477362611842
5,13,Family Favorites,Haus Murphy's,"Glendale, Arizona",2009-03-23,33.5386858,-112.1859941
5,13,Family Favorites,Louie's,"Dallas, Texas",2009-03-23,32.7762719,-96.7968559
6,1,Funky Joints,Bizzaro Café,"Seattle, Washington",2009-04-06,47.6038321,-122.3300624
6,1,Funky Joints,Chef Point Café,"Watauga, Texas",2009-04-06,32.8579056,-97.2547371
6,1,Funky Joints,Jamie's Bar & Grill,"Sacramento, California",2009-04-06,38.5815719,-121.4943996
6,2,Their Own Way,Bluewater Seafood Market & Grill,"San Diego, California",2009-04-13,32.7174209,-117.1627714
6,2,Their Own Way,Brandy's Restaurant & Bakery,"Flagstaff, Arizona",2009-04-13,35.1987522,-111.6518229
6,2,Their Own Way,Kuma's Corner,"Chicago, Illinois",2009-04-13,41.8755616,-87.6244212
6,3,A Little Bit of Everywhere,Bar Gernika,"Boise, Idaho",2009-04-20,43.6166163,-116.200886
6,3,A Little Bit of Everywhere,Café Rolle,"Sacramento, California",2009-04-20,38.5815719,-121.4943996
6,3,A Little Bit of Everywhere,Havana Hideout,"Lake Worth, Florida",2009-04-20,26.615891,-80.0691435
6,4,"A Burger, A Bowl and a Slice",La Piazza Al Forno,"Glendale, Arizona",2009-04-27,33.5386858,-112.1859941
6,4,"A Burger, A Bowl and a Slice",Slim's Last Chance Chili Shack & Watering Hole,"Seattle, Washington",2009-04-27,47.6038321,-122.3300624
6,4,"A Burger, A Bowl and a Slice",Twisted Root Beer Co.,"Dallas, Texas",2009-04-27,32.7762719,-96.7968559
6,5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Café","Portland, Oregon",2009-05-04,45.5202471,-122.6741949
6,5,"Biscuits, Bagels and BLTs",Bubba's Diner,"San Anselmo, California",2009-05-04,37.9744323,-122.5615032
6,5,"Biscuits, Bagels and BLTs",Flakowitz of Boynton Bakery & Deli Restaurant,"Boynton Beach, Florida",2009-05-04,26.5256179,-80.0666026
6,6,Who'Da Thunk It,Backroad Pizza,"Santa Fe, New Mexico",2009-05-11,35.6869996,-105.9377997
6,6,Who'Da Thunk It,Jamaica Gates Caribbean Cuisine,"Arlington, Texas",2009-05-11,32.701938999999996,-97.10562379033699
6,6,Who'Da Thunk It,Chef Lou's Westside Drive-In,"Boise, Idaho",2009-05-11,43.6166163,-116.200886
6,7,Go-To Joints,Black Duck Café,"Westport, Connecticut",2009-05-25,41.1414855,-73.3578955
6,7,Go-To Joints,Otto's Sausage Kitchen & Meat Market,"Portland, Oregon",2009-05-25,45.5202471,-122.6741949
6,7,Go-To Joints,Sol Food Puerto Rican Cuisine,"San Rafael, California",2009-05-25,37.9735346,-122.5310874
6,8,Homestyle,Giuseppe's Restaurant,"Phoenix, Arizona",2009-06-01,33.4484367,-112.0741417
6,8,Homestyle,Southern Kitchen Restaurant,"Tacoma, Washington",2009-06-01,47.2495798,-122.4398746
6,8,Homestyle,Zia Diner & Angel Food Catering,"Santa Fe, New Mexico",2009-06-01,35.6869996,-105.9377997
6,9,All Kinds of Classics,Blue Marlin Fish House Restaurant,"North Miami Beach, Florida",2009-06-08,25.9331488,-80.1625463
6,9,All Kinds of Classics,Fred's Texas Café,"Fort Worth, Texas",2009-06-08,32.753177,-97.3327459
6,9,All Kinds of Classics,Pine State Biscuits,"Portland, Oregon",2009-06-08,45.5202471,-122.6741949
6,10,All Over The Map,Georgia Greek Restaurant & Deli,"Seattle, Washington",2009-06-15,47.6038321,-122.3300624
6,10,All Over The Map,Los Tacquitos Grill,"Phoenix, Arizona",2009-06-15,33.4484367,-112.0741417
6,10,All Over The Map,Rocco's Café,"San Francisco, California",2009-06-15,37.7790262,-122.4199061
6,11,Old Time Favorites,Blueplate Lunch Counter & Soda Fountain,"Portland, Oregon",2009-06-22,45.5202471,-122.6741949
6,11,Old Time Favorites,Don's Hilltop Kodiak Grill,"Boise, Idaho",2009-06-22,43.6166163,-116.200886
6,11,Old Time Favorites,La Camoronera Restaurant & Fish Market,"Miami, Florida",2009-06-22,25.7742658,-80.1936589
6,12,Comfort Cookin',Dottie's True Blue Café,"San Francisco, California",2009-06-29,37.7790262,-122.4199061
6,12,Comfort Cookin',Over Easy,"Phoenix, Arizona",2009-06-29,33.4484367,-112.0741417
6,12,Comfort Cookin',Comet Café,"Milwaukee, Wisconsin",2009-06-29,43.0349931,-87.922497
6,13,Mama's Cookin',Polka Restaurant & Catering,"Los Angeles, California",2009-07-27,34.0536909,-118.2427666
6,13,Mama's Cookin',Avila's Café,"Dallas, Texas",2009-07-27,32.7762719,-96.7968559
6,13,Mama's Cookin',Mama E's,Oklahoma City,2009-07-27,35.4729886,-97.5170536
7,1,Upper Crust,Bunk Sandwiches,"Portland, Oregon",2009-08-03,45.5202471,-122.6741949
7,1,Upper Crust,Sonny's Famous Steak Hogies,"Hollywood, Florida",2009-08-03,26.0112014,-80.1494901
7,1,Upper Crust,The Depot American Diner,"Chicago, Illinois",2009-08-03,41.8755616,-87.6244212
7,2,"Burgers, Tacos & Dogs",Lankford Grocery,"Houston, Texas",2009-08-10,29.7589382,-95.3676974
7,2,"Burgers, Tacos & Dogs",Fab Hot Dogs,"Reseda, California",2009-08-10,34.2000784,-118.5369884
7,2,"Burgers, Tacos & Dogs",Cempazuchi,"Milwaukee, Wisconsin",2009-08-10,43.0349931,-87.922497
7,3,Name That Cook,Rick's Press Room & Grill,"Meridian, Idaho",2009-08-17,43.6086295,-116.392326
7,3,Name That Cook,Nic's Grill,"Oklahoma City, Oklahoma",2009-08-17,35.4729886,-97.5170536
7,3,Name That Cook,Pam's Kitchen,"Seattle, Washington",2009-08-17,47.6038321,-122.3300624
7,4,Global Grub,Prince Lebanese Grill,"Arlington, Texas",2009-08-24,32.701938999999996,-97.10562379033699
7,4,Global Grub,Tre Kronor,"Chicago, Illinois",2009-08-24,41.8755616,-87.6244212
7,4,Global Grub,La Texanita,"Santa Rosa, California",2009-08-24,38.4404925,-122.7141049
7,5,Only At This Joint,Podnah's Pit Barbeque,"Portland, Oregon",2009-08-31,45.5202471,-122.6741949
